,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,Fo,CRo,fmin,fmax,AD_fmin,AD_fmax,DELTA FOBJ,DELTA VX,r_fitness,F,CR
87,2056.989279073496,1.2962481136147008,0.96,0.0,0.0,360.0,0.9685774162678688,0.14772864738862973,6117.5211445449595,9101.745553072687,0.7244325254134341,0.6485418075453523,-1.0,-2.0,0.3278738557485024,0.6570634191407649,0.37000348745863787
88,2054.5071503836493,1.2946839563948769,1.000033333333333,1.0,2.0,360.0,0.6570634191407649,0.37000348745863787,6081.277904782021,8916.876867522753,0.7201406266050346,0.6353690517496673,1.0,2.0,0.3180036020311789,0.6525702689641557,0.14132720316321307
89,2054.5071503836493,1.2946839563948769,1.000033333333333,0.0,0.0,360.0,0.6525702689641557,0.14132720316321307,6081.277904782021,8916.876867522753,0.7201406266050346,0.6353690517496673,-1.0,-2.0,0.3180036020311789,0.508587260230946,0.2520296501487314
90,14.416154632209626,0.8965451657637188,0.24,1.0,2.0,360.0,0.5094108754227722,0.13424873580718202,317.6626117995488,550.1870939870453,0.9264716067618536,0.8944549239698333,1.0,2.0,0.4226280200476158,0.7802064353381841,0.2520101757211785
91,13.585160089001846,0.8448653551972881,0.36,1.0,2.0,360.0,0.7802064353381841,0.2520101757211785,267.3080972265353,523.8571153358686,0.7796113018619766,0.8516495232071608,0.0,0.0,0.4897309029483126,0.6982306632147705,0.05793239747996054
92,12.667843909419256,0.7878171750644172,0.48,1.0,2.0,360.0,0.6982306632147705,0.05793239747996054,261.90919120461785,447.80955679535913,0.7638652462952029,0.7280168281915186,0.0,0.0,0.4151326446025232,0.5741158130928472,0.3558939772118617
93,12.604302665431645,0.7838655252259491,0.6,0.0,0.0,360.0,0.5741158130928472,0.3558939772118617,261.90919120461785,447.80955679535913,0.7638652462952029,0.7280168281915186,-1.0,-2.0,0.4151326446025232,0.9979362360147309,0.3822565992696749
94,12.331209588439314,0.7668817813478157,0.72,1.0,2.0,360.0,0.9979362360147309,0.3822565992696749,243.11909919682503,431.88785971065766,0.7090634342876636,0.7021324690144155,1.0,2.0,0.4370781819157822,0.7052860639661374,0.4327810485163883
95,11.835065963240735,0.7360264541094109,0.84,1.0,2.0,360.0,0.7052860639661374,0.4327810485163883,224.9669187815597,416.60123892599387,0.6561221087086431,0.6772805715760069,0.0,0.0,0.459994599724358,0.7453737456053965,0.19966745329545468
96,11.274217549190775,0.7011471158135182,0.96,1.0,2.0,360.0,0.7453737456053965,0.19966745329545468,217.79252672709325,384.20993967425363,0.6351978000637359,0.624621108229559,0.0,0.0,0.43314187313387775,0.6946516305812198,0.09642250220246246
97,11.111774334435971,0.6910447214777816,1.000033333333333,1.0,2.0,360.0,0.6946516305812198,0.09642250220246246,206.15742963068746,383.0000569033438,0.6012637244082121,0.6226541671404392,0.0,0.0,0.461730028717164,0.8819813661210576,0.05876108134761793
98,11.111774334435971,0.6910447214777816,1.000033333333333,0.0,0.0,360.0,0.8819813661210576,0.05876108134761793,206.15742963068746,383.0000569033438,0.6012637244082121,0.6226541671404392,-1.0,-2.0,0.461730028717164,0.6981033696924184,0.4024436568763138
